20184105,말모이,1185368,20190113
20176251,내안의 그놈,765383,20190113
20189463,주먹왕 랄프 2: 인터넷 속으로,1342315,20190113
20180290,아쿠아맨,4920735,20190113
20183915,극장판 공룡메카드: 타이니소어의 섬,289873,20190113
20185485,보헤미안 랩소디,9785643,20190113
20184574,그린 북,99569,20190113
20186281,범블비,1553491,20190113
20170658,PMC: 더 벙커,1665204,20190113
20175547,스윙키즈,1462874,20190113
20180290,아쿠아맨,4544386,20190106
20189463,주먹왕 랄프 2: 인터넷 속으로,758353,20190106
20170658,PMC: 더 벙커,1607679,20190106
20185485,보헤미안 랩소디,9610394,20190106
20186281,범블비,1490100,20190106
20175547,스윙키즈,1428006,20190106
20183785,점박이 한반도의 공룡2 : 새로운 낙원,521053,20190106
20184187,언니,172340,20190106
20184105,말모이,152181,20190106
20182421,그린치,543815,20190106
20180290,아쿠아맨,3204166,20181230
20186281,범블비,1056143,20181230
20170658,PMC: 더 벙커,1013905,20181230
20185485,보헤미안 랩소디,9118137,20181230
20168773,마약왕,1787838,20181230
20175547,스윙키즈,1195151,20181230
20183785,점박이 한반도의 공룡2 : 새로운 낙원,333626,20181230
20182421,그린치,458816,20181230
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,259753,20181230
20183238,스파이더맨: 뉴 유니버스,628327,20181230
20180290,아쿠아맨,1250061,20181223
20168773,마약왕,1210192,20181223
20175547,스윙키즈,660945,20181223
20185485,보헤미안 랩소디,8502129,20181223
20182421,그린치,199383,20181223
20177552,국가부도의 날,3723915,20181223
20183238,스파이더맨: 뉴 유니버스,541794,20181223
20179230,도어락,1546002,20181223
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,112539,20181223
20183375,극장판 포켓몬스터 모두의 이야기,86997,20181223
20185485,보헤미안 랩소디,7942502,20181216
20177552,국가부도의 날,3536000,20181216
20179230,도어락,1427392,20181216
20183238,스파이더맨: 뉴 유니버스,390327,20181216
20189843,호두까기 인형과 4개의 왕국,408425,20181216
20182082,부탁 하나만 들어줘,87501,20181216
20175547,스윙키즈,100989,20181216
20178825,모털 엔진,262070,20181216
20183745,런닝맨 : 풀룰루의 역습,180709,20181216
20177538,완벽한 타인,5270621,20181216
20177552,국가부도의 날,2724298,20181209
20185485,보헤미안 랩소디,7060186,20181209
20179230,도어락,827565,20181209
20189843,호두까기 인형과 4개의 왕국,229936,20181209
20178825,모털 엔진,203372,20181209
20183745,런닝맨 : 풀룰루의 역습,122873,20181209
20184481,성난황소,1567264,20181209
20177538,완벽한 타인,5222293,20181209
20181905,후드,276658,20181209
20176814,신비한 동물들과 그린델왈드의 범죄,2403686,20181209
20177552,국가부도의 날,1571881,20181202
20185485,보헤미안 랩소디,6046950,20181202
20184481,성난황소,1451665,20181202
20177538,완벽한 타인,5132043,20181202
20181905,후드,227258,20181202
20176814,신비한 동물들과 그린델왈드의 범죄,2362181,20181202
20183073,베일리 어게인,78439,20181202
20181171,바울,229837,20181202
20183007,거미줄에 걸린 소녀,25172,20181202
20182966,투 프렌즈,20419,20181202
20185485,보헤미안 랩소디,4644453,20181125
20184481,성난황소,921018,20181125
20176814,신비한 동물들과 그린델왈드의 범죄,2165744,20181125
20177538,완벽한 타인,4890354,20181125
20183050,번 더 스테이지: 더 무비,298402,20181125
20183073,베일리 어게인,45254,20181125
20181171,바울,201760,20181125
20182935,출국,71407,20181125
20182669,툴리,24325,20181125
20186822,너의 췌장을 먹고 싶어,48910,20181125
20176814,신비한 동물들과 그린델왈드의 범죄,1519853,20181118
20185485,보헤미안 랩소디,3138018,20181118
20177538,완벽한 타인,4350472,20181118
20183050,번 더 스테이지: 더 무비,235068,20181118
20170513,동네사람들,445625,20181118
20184481,성난황소,78606,20181118
20181171,바울,160277,20181118
20182935,출국,36975,20181118
20186822,너의 췌장을 먹고 싶어,33882,20181118
20189869,해피 투게더,15745,20181118
20177538,완벽한 타인,3375748,20181111
20185485,보헤미안 랩소디,1843165,20181111
20170513,동네사람들,352215,20181111
20181171,바울,108996,20181111
20174981,창궐,1588443,20181111
20010291,해리포터와 마법사의 돌,259733,20181111
20179006,여곡성,55997,20181111
20181404,벽 속에 숨은 마법시계,211233,20181111
20180523,스타 이즈 본,458917,20181111
20182693,구스범스: 몬스터의 역습,21400,20181111
